Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-04-27,44.69,45.34,44.36,44.71,20077392.0,0.0,1.0,44.69,45.34,44.36,44.71,20077392.0
2018-04-26,43.98,44.49,43.44,44.21,20549341.0,0.0,1.0,43.98,44.49,43.44,44.21,20549341.0
2018-04-25,43.8,43.99,42.75,43.71,21706045.0,0.0,1.0,43.8,43.99,42.75,43.71,21706045.0
2018-04-24,44.43,44.91,43.33,43.74,21421528.0,0.0,1.0,44.43,44.91,43.33,43.74,21421528.0
2018-04-23,44.26,44.475,43.87,44.25,20716812.0,0.0,1.0,44.26,44.475,43.87,44.25,20716812.0
2018-04-20,44.5,44.75,43.62,44.09,23539219.0,0.0,1.0,44.5,44.75,43.62,44.09,23539219.0
2018-04-19,44.42,44.95,44.38,44.56,21472349.0,0.0,1.0,44.42,44.95,44.38,44.56,21472349.0
2018-04-18,44.61,44.92,44.295,44.63,17605321.0,0.0,1.0,44.61,44.92,44.295,44.63,17605321.0
2018-04-17,43.85,44.75,43.705,44.59,21474572.0,0.0,1.0,43.85,44.75,43.705,44.59,21474572.0
2018-04-16,43.12,43.64,43.03,43.3,15807853.0,0.0,1.0,43.12,43.64,43.03,43.3,15807853.0
2018-04-13,43.55,43.74,42.64,43.0,18272320.0,0.0,1.0,43.55,43.74,42.64,43.0,18272320.0
2018-04-12,42.78,43.64,42.73,43.34,22297010.0,0.0,1.0,42.78,43.64,42.73,43.34,22297010.0
2018-04-11,42.42,42.9,42.26,42.43,21692969.0,0.0,1.0,42.42,42.9,42.26,42.43,21692969.0
2018-04-10,42.1,42.71,41.75,42.51,22781594.0,0.0,1.0,42.1,42.71,41.75,42.51,22781594.0
2018-04-09,40.95,42.06,40.9,41.17,25725786.0,0.0,1.0,40.95,42.06,40.9,41.17,25725786.0
2018-04-06,41.4,41.68,40.45,40.73,32208693.0,0.0,1.0,41.4,41.68,40.45,40.73,32208693.0
2018-04-05,41.5,42.02,41.38,41.82,29331612.0,0.0,1.0,41.5,42.02,41.38,41.82,29331612.0
2018-04-04,40.39,41.55,40.19,41.2,30117558.0,0.33,1.0,40.39,41.55,40.19,41.2,30117558.0
2018-04-03,41.34,41.5,40.72,41.38,28003925.0,0.0,1.0,41.01150975198652,41.17023838189261,40.39643631110041,41.05119190946304,28003925.0
2018-04-02,42.52,42.63,40.53,41.01,36791764.0,0.0,1.0,42.18213339754395,42.29125933060439,40.20794606308693,40.6841319528052,36791764.0
2018-03-29,41.94,42.93,41.58,42.89,55021225.0,0.0,1.0,41.60674211413436,42.58887551167831,41.249602696845656,42.54919335420178,55021225.0
2018-03-28,42.51,42.84,41.62,41.66,36696770.0,0.0,1.0,42.17221285817482,42.49959065735614,41.289284854322176,41.3289670117987,36696770.0
2018-03-27,44.49,44.52,42.24,42.68,30941960.0,0.0,1.0,44.13647965326271,44.166241271370104,41.90435829520829,42.34086202745004,30941960.0
2018-03-26,43.25,44.16,42.83,44.06,29731870.0,0.0,1.0,42.90633277149049,43.80910185408139,42.489670117986996,43.709896460390084,29731870.0
2018-03-23,43.71,43.84,42.42,42.42,31759225.0,0.0,1.0,43.36267758247051,43.49164459426921,42.08292800385264,42.08292800385264,31759225.0
2018-03-22,43.76,44.02,43.02,43.07,29520761.0,0.0,1.0,43.41228027931616,43.670214302913564,42.67816036600049,42.72776306284614,29520761.0
2018-03-21,44.24,44.9,44.1331,44.31,22528153.0,0.0,1.0,43.88846616903444,44.543221767397064,43.78241560317843,43.95790994461836,22528153.0
2018-03-20,44.49,44.64,44.18,44.37,22809746.0,0.0,1.0,44.13647965326271,44.285287743799664,43.82894293281965,44.01743318083314,22809746.0
2018-03-19,44.59,44.82,43.9,44.27,26734062.0,0.0,1.0,44.23568504695402,44.46385745244402,43.55116783048399,43.91822778714183,26734062.0
2018-03-16,45.33,45.6,44.97,45.01,56129032.0,0.0,1.0,44.969804960269684,45.23765952323622,44.61266554298098,44.652347700457504,56129032.0
2018-03-15,45.3,45.735,45.12,45.33,23520380.0,0.0,1.0,44.94004334216229,45.371586804719485,44.76147363351794,44.969804960269684,23520380.0
2018-03-14,45.34,45.7587,45.09,45.28,21141074.0,0.0,1.0,44.979725499638825,45.39509848302432,44.73171201541055,44.92020226342404,21141074.0
2018-03-13,45.78,46.16,44.92,45.16,23411226.0,0.0,1.0,45.41622923188057,45.79320972790754,44.56306284613533,44.801155790994464,23411226.0
2018-03-12,45.53,45.87,45.4,45.55,18299843.0,0.0,1.0,45.168215747652305,45.505514086202744,45.039248735853604,45.188056826390564,18299843.0
2018-03-09,44.62,45.54,44.61,45.37,22230941.0,0.0,1.0,44.265446665061404,45.17813628702143,44.25552612569227,45.00948711774621,22230941.0
2018-03-08,44.25,44.41,43.935,44.34,20285571.0,0.0,1.0,43.89838670840357,44.05711533830966,43.58588971827595,43.98767156272575,20285571.0
2018-03-07,44.03,44.39,43.8,44.2,22034446.0,0.0,1.0,43.68013484228269,44.0372742595714,43.451962436792684,43.84878401155792,22034446.0
2018-03-06,44.65,44.785,44.135,44.29,21929955.0,0.0,1.0,44.2952082831688,44.42913556465206,43.784300505658564,43.93806886588009,21929955.0
2018-03-05,43.92,44.765,43.7,44.52,22101667.0,0.0,1.0,43.57100890922226,44.409294485913804,43.35275704310138,44.166241271370104,22101667.0
2018-03-02,43.29,44.22,43.1,44.06,28848064.0,0.0,1.0,42.94601492896702,43.86862509029618,42.75752468095353,43.709896460390084,28848064.0
