Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-04-27,14.22,14.48,14.19,14.38,48772056.0,0.0,1.0,14.22,14.48,14.19,14.38,48772056.0
2018-04-26,14.11,14.495,14.06,14.38,64850503.0,0.0,1.0,14.11,14.495,14.06,14.38,64850503.0
2018-04-25,14.72,14.73,13.91,14.05,110141573.0,0.0,1.0,14.72,14.73,13.91,14.05,110141573.0
2018-04-24,14.66,14.77,14.54,14.68,74241388.0,0.0,1.0,14.66,14.77,14.54,14.68,74241388.0
2018-04-23,14.75,14.78,14.39,14.52,73304090.0,0.0,1.0,14.75,14.78,14.39,14.52,73304090.0
2018-04-20,14.94,15.05,14.34,14.54,188686041.0,0.0,1.0,14.94,15.05,14.34,14.54,188686041.0
2018-04-19,13.67,14.06,13.63,13.99,87631907.0,0.0,1.0,13.67,14.06,13.63,13.99,87631907.0
2018-04-18,13.88,13.92,13.62,13.66,41942562.0,0.0,1.0,13.88,13.92,13.62,13.66,41942562.0
2018-04-17,13.38,13.87,13.36,13.79,72085519.0,0.0,1.0,13.38,13.87,13.36,13.79,72085519.0
2018-04-16,13.5,13.58,13.23,13.33,58260886.0,0.0,1.0,13.5,13.58,13.23,13.33,58260886.0
2018-04-13,13.41,13.68,13.36,13.49,71067248.0,0.0,1.0,13.41,13.68,13.36,13.49,71067248.0
2018-04-12,13.03,13.245,12.97,13.18,63620400.0,0.0,1.0,13.03,13.245,12.97,13.18,63620400.0
2018-04-11,12.91,13.0799,12.85,12.97,49932060.0,0.0,1.0,12.91,13.0799,12.85,12.97,49932060.0
2018-04-10,13.01,13.14,12.95,13.05,57620140.0,0.0,1.0,13.01,13.14,12.95,13.05,57620140.0
2018-04-09,13.1,13.16,12.82,12.83,68332636.0,0.0,1.0,13.1,13.16,12.82,12.83,68332636.0
2018-04-06,13.32,13.47,12.93,13.06,63447326.0,0.0,1.0,13.32,13.47,12.93,13.06,63447326.0
2018-04-05,13.29,13.56,13.165,13.43,53471366.0,0.0,1.0,13.29,13.56,13.165,13.43,53471366.0
2018-04-04,12.82,13.3,12.79,13.28,57156389.0,0.0,1.0,12.82,13.3,12.79,13.28,57156389.0
2018-04-03,13.12,13.14,12.8,13.13,59771402.0,0.0,1.0,13.12,13.14,12.8,13.13,59771402.0
2018-04-02,13.45,13.54,12.96,13.12,72086963.0,0.0,1.0,13.45,13.54,12.96,13.12,72086963.0
2018-03-29,13.58,13.66,13.35,13.48,74514308.0,0.0,1.0,13.58,13.66,13.35,13.48,74514308.0
2018-03-28,13.52,13.95,13.085,13.68,139104727.0,0.0,1.0,13.52,13.95,13.085,13.68,139104727.0
2018-03-27,12.92,13.72,12.82,13.44,154968608.0,0.0,1.0,12.92,13.72,12.82,13.44,154968608.0
2018-03-26,13.23,13.2395,12.73,12.89,105435655.0,0.0,1.0,13.23,13.2395,12.73,12.89,105435655.0
2018-03-23,13.4,13.4499,13.02,13.07,84042290.0,0.0,1.0,13.4,13.4499,13.02,13.07,84042290.0
2018-03-22,13.75,13.79,13.32,13.35,71227579.0,0.0,1.0,13.75,13.79,13.32,13.35,71227579.0
2018-03-21,13.66,13.96,13.57,13.88,65142594.0,0.0,1.0,13.66,13.96,13.57,13.88,65142594.0
2018-03-20,14.1,14.11,13.62,13.64,88921488.0,0.0,1.0,14.1,14.11,13.62,13.64,88921488.0
2018-03-19,14.26,14.28,14.0,14.07,66184199.0,0.0,1.0,14.26,14.28,14.0,14.07,66184199.0
2018-03-16,14.34,14.42,14.175,14.31,114488969.0,0.0,1.0,14.34,14.42,14.175,14.31,114488969.0
2018-03-15,14.31,14.55,14.26,14.36,47424899.0,0.0,1.0,14.31,14.55,14.26,14.36,47424899.0
2018-03-14,14.46,14.59,14.235,14.27,57066865.0,0.0,1.0,14.46,14.59,14.235,14.27,57066865.0
2018-03-13,14.69,14.74,14.34,14.43,118681396.0,0.0,1.0,14.69,14.74,14.34,14.43,118681396.0
2018-03-12,15.02,15.33,14.96,15.1,70202839.0,0.0,1.0,15.02,15.33,14.96,15.1,70202839.0
