Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-04-27,127.73,128.79,127.5,128.27,4266751.0,0.0,1.0,127.73,128.79,127.5,128.27,4266751.0
2018-04-26,126.62,129.22,126.62,128.01,8210964.0,0.0,1.0,126.62,129.22,126.62,128.01,8210964.0
2018-04-25,125.91,126.85,125.28,126.76,5842088.0,0.0,1.0,125.91,126.85,125.28,126.76,5842088.0
2018-04-24,126.94,127.46,125.31,126.19,6577055.0,0.0,1.0,126.94,127.46,125.31,126.19,6577055.0
2018-04-23,126.88,127.3,125.78,126.83,7501475.0,0.0,1.0,126.88,127.3,125.78,126.83,7501475.0
2018-04-20,128.0,128.3,126.17,126.66,7743916.0,0.0,1.0,128.0,128.3,126.17,126.66,7743916.0
2018-04-19,127.63,128.27,126.8875,127.55,5958409.0,0.0,1.0,127.63,128.27,126.8875,127.55,5958409.0
2018-04-18,129.69,129.9,126.94,127.72,9382451.0,0.0,1.0,129.69,129.9,126.94,127.72,9382451.0
2018-04-17,132.11,132.2,128.81,130.54,11008515.0,0.0,1.0,132.11,132.2,128.81,130.54,11008515.0
2018-04-16,131.41,132.88,131.28,131.76,6375059.0,0.0,1.0,131.41,132.88,131.28,131.76,6375059.0
2018-04-13,131.09,131.42,129.63,130.62,4742250.0,0.0,1.0,131.09,131.42,129.63,130.62,4742250.0
2018-04-12,130.09,131.31,129.86,130.43,4559418.0,0.0,1.0,130.09,131.31,129.86,130.43,4559418.0
2018-04-11,129.14,130.35,129.03,129.63,4575162.0,0.0,1.0,129.14,130.35,129.03,129.63,4575162.0
2018-04-10,130.25,130.9096,129.29,130.25,6069415.0,0.0,1.0,130.25,130.9096,129.29,130.25,6069415.0
2018-04-09,128.65,131.14,127.68,129.48,6395848.0,0.0,1.0,128.65,131.14,127.68,129.48,6395848.0
2018-04-06,130.22,130.64,126.41,128.1,6399121.0,0.0,1.0,130.22,130.64,126.41,128.1,6399121.0
2018-04-05,130.41,131.2,129.5,130.71,5620322.0,0.0,1.0,130.41,131.2,129.5,130.71,5620322.0
2018-04-04,126.9,131.12,126.39,130.41,7498311.0,0.0,1.0,126.9,131.12,126.39,130.41,7498311.0
2018-04-03,125.18,128.485,124.68,128.35,8034690.0,0.0,1.0,125.18,128.485,124.68,128.35,8034690.0
2018-04-02,127.82,127.88,123.54,124.56,8916907.0,0.0,1.0,127.82,127.88,123.54,124.56,8916907.0
2018-03-29,127.97,128.76,126.82,128.15,6119424.0,0.0,1.0,127.97,128.76,126.82,128.15,6119424.0
2018-03-28,127.63,129.02,127.21,127.45,6868531.0,0.0,1.0,127.63,129.02,127.21,127.45,6868531.0
2018-03-27,127.11,129.1,126.39,127.21,7789861.0,0.0,1.0,127.11,129.1,126.39,127.21,7789861.0
2018-03-26,126.41,127.54,125.21,127.39,8358246.0,0.0,1.0,126.41,127.54,125.21,127.39,8358246.0
2018-03-23,127.63,127.87,124.9,125.1,8452497.0,0.0,1.0,127.63,127.87,124.9,125.1,8452497.0
2018-03-22,130.47,130.68,127.1,127.38,7560078.0,0.0,1.0,130.47,130.68,127.1,127.38,7560078.0
2018-03-21,131.4,132.78,130.66,131.19,5158743.0,0.0,1.0,131.4,132.78,130.66,131.19,5158743.0
2018-03-20,130.78,131.78,129.38,131.21,6214255.0,0.0,1.0,130.78,131.78,129.38,131.21,6214255.0
2018-03-19,133.35,133.47,129.36,130.24,6016952.0,0.0,1.0,133.35,133.47,129.36,130.24,6016952.0
2018-03-16,133.16,134.4,132.1,133.68,14233523.0,0.0,1.0,133.16,134.4,132.1,133.68,14233523.0
2018-03-15,132.55,134.24,132.47,133.06,6147165.0,0.0,1.0,132.55,134.24,132.47,133.06,6147165.0
2018-03-14,135.24,135.7,131.9,132.32,6770620.0,0.0,1.0,135.24,135.7,131.9,132.32,6770620.0
2018-03-13,133.8,135.39,133.45,134.35,9152305.0,0.0,1.0,133.8,135.39,133.45,134.35,9152305.0
2018-03-12,133.8,134.23,132.32,132.63,4941996.0,0.0,1.0,133.8,134.23,132.32,132.63,4941996.0
2018-03-09,132.51,133.82,131.56,133.8,7557814.0,0.0,1.0,132.51,133.82,131.56,133.8,7557814.0
2018-03-08,129.33,132.3,129.33,132.06,6423362.0,0.0,1.0,129.33,132.3,129.33,132.06,6423362.0
2018-03-07,127.48,129.33,127.27,129.04,6391661.0,0.0,1.0,127.48,129.33,127.27,129.04,6391661.0
2018-03-06,130.0,130.2,127.92,128.22,5543015.0,0.0,1.0,130.0,130.2,127.92,128.22,5543015.0
2018-03-05,128.63,130.3,128.18,129.79,5799799.0,0.0,1.0,128.63,130.3,128.18,129.79,5799799.0
2018-03-02,126.91,129.11,126.91,128.82,6910426.0,0.0,1.0,126.91,129.11,126.91,128.82,6910426.0
2018-03-01,129.11,130.12,126.52,127.28,9424007.0,0.0,1.0,129.11,130.12,126.52,127.28,9424007.0
2018-02-28,131.95,132.33,129.87,129.88,7985941.0,0.0,1.0,131.95,132.33,129.87,129.88,7985941.0
2018-02-27,132.21,133.09,131.6,131.67,7158382.0,0.0,1.0,132.21,133.09,131.6,131.67,7158382.0
2018-02-26,131.71,133.4055,131.0,132.07,6684302.0,0.84,1.0,131.71,133.4055,131.0,132.07,6684302.0
2018-02-23,130.09,132.08,130.02,132.02,5126447.0,0.0,1.0,129.2678225867128,131.2452456549545,129.19826499134754,131.1856248589271,5126447.0
2018-02-22,130.1,131.02,129.48,129.91,5732245.0,0.0,1.0,129.27775938605072,130.19194492513734,128.66167782710104,129.08896019863064,5732245.0
2018-02-21,130.8,132.4348,129.86,129.91,6578047.0,0.0,1.0,129.97333533970357,131.59780329546308,129.0392762019412,129.08896019863064,6578047.0
2018-02-20,132.87,133.45,130.66,130.87,6563538.0,0.0,1.0,132.03025280264842,132.60658716424646,129.834220148973,130.04289293506886,6563538.0
2018-02-16,130.96,134.45,130.84,133.15,7970065.0,0.0,1.0,130.13232412910995,133.60026709803626,130.01308253705517,132.30848318410955,7970065.0
2018-02-15,130.1,131.28,129.4,131.23,5606447.0,0.0,1.0,129.27775938605072,130.45030170792265,128.58218343239787,130.40061771123317,5606447.0
2018-02-14,129.44,130.015,128.39,129.67,6259662.0,0.0,1.0,128.62193062974944,129.19329659167857,127.57856669927017,128.8504770145211,6259662.0
2018-02-13,129.21,130.6,128.7,129.96,6338471.0,0.0,1.0,128.39338424497782,129.77459935294561,127.886607478745,129.13864419532015,6338471.0
2018-02-12,130.0,131.32,127.6755,130.27,9963943.0,0.0,1.0,129.17839139267173,130.49004890527425,126.86858238657739,129.44668497479498,9963943.0
2018-02-09,127.52,130.92,125.44,129.53,15030542.0,0.0,1.0,126.71406515687308,130.09257693175832,124.64721089459033,128.71136182379053,15030542.0
2018-02-08,130.91,131.25,126.11,126.36,11680221.0,0.0,1.0,130.08264013242044,130.42049130990895,125.31297645022948,125.56139643367693,11680221.0
