Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-04-27,97.6,97.9,93.91,95.82,48272780.0,0.0,1.0,97.6,97.9,93.91,95.82,48272780.0
2018-04-26,93.55,95.15,93.1,94.26,42529043.0,0.0,1.0,93.55,95.15,93.1,94.26,42529043.0
2018-04-25,93.3,93.3,90.28,92.31,33729257.0,0.0,1.0,93.3,93.3,90.28,92.31,33729257.0
2018-04-24,96.242,96.47,92.41,93.12,34524799.0,0.0,1.0,96.242,96.47,92.41,93.12,34524799.0
2018-04-23,95.7436,96.29,94.63,95.35,22331829.0,0.0,1.0,95.7436,96.29,94.63,95.35,22331829.0
2018-04-20,95.91,96.11,94.05,95.0,31154377.0,0.0,1.0,95.91,96.11,94.05,95.0,31154377.0
2018-04-19,96.44,97.07,95.34,96.11,23552541.0,0.0,1.0,96.44,97.07,95.34,96.11,23552541.0
2018-04-18,96.22,96.72,95.52,96.44,21043287.0,0.0,1.0,96.22,96.72,95.52,96.44,21043287.0
2018-04-17,95.0,96.54,94.88,96.07,26771000.0,0.0,1.0,95.0,96.54,94.88,96.07,26771000.0
2018-04-16,94.07,94.66,93.42,94.17,20288083.0,0.0,1.0,94.07,94.66,93.42,94.17,20288083.0
2018-04-13,94.05,94.18,92.44,93.08,23346063.0,0.0,1.0,94.05,94.18,92.44,93.08,23346063.0
2018-04-12,92.43,94.16,92.43,93.58,26758879.0,0.0,1.0,92.43,94.16,92.43,93.58,26758879.0
2018-04-11,92.01,93.29,91.48,91.86,24872110.0,0.0,1.0,92.01,93.29,91.48,91.86,24872110.0
2018-04-10,92.39,93.28,91.64,92.88,26939883.0,0.0,1.0,92.39,93.28,91.64,92.88,26939883.0
2018-04-09,91.04,93.17,90.62,90.77,31533943.0,0.0,1.0,91.04,93.17,90.62,90.77,31533943.0
2018-04-06,91.49,92.46,89.48,90.23,38026000.0,0.0,1.0,91.49,92.46,89.48,90.23,38026000.0
2018-04-05,92.435,93.065,91.4,92.38,29771881.0,0.0,1.0,92.435,93.065,91.4,92.38,29771881.0
2018-04-04,87.85,92.76,87.73,92.33,35559956.0,0.0,1.0,87.85,92.76,87.73,92.33,35559956.0
2018-04-03,89.575,90.05,87.89,89.71,37213837.0,0.0,1.0,89.575,90.05,87.89,89.71,37213837.0
2018-04-02,90.47,90.88,87.51,88.52,48515417.0,0.0,1.0,90.47,90.88,87.51,88.52,48515417.0
2018-03-29,90.18,92.29,88.4,91.27,45867548.0,0.0,1.0,90.18,92.29,88.4,91.27,45867548.0
2018-03-28,89.82,91.23,88.873,89.39,52501146.0,0.0,1.0,89.82,91.23,88.873,89.39,52501146.0
2018-03-27,94.94,95.139,88.51,89.47,56569011.0,0.0,1.0,94.94,95.139,88.51,89.47,56569011.0
2018-03-26,90.61,94.0,90.4,93.78,56396780.0,0.0,1.0,90.61,94.0,90.4,93.78,56396780.0
2018-03-23,89.5,90.46,87.08,87.18,44068949.0,0.0,1.0,89.5,90.46,87.08,87.18,44068949.0
2018-03-22,91.265,91.75,89.66,89.79,38604715.0,0.0,1.0,91.265,91.75,89.66,89.79,38604715.0
2018-03-21,92.93,94.05,92.21,92.48,24457082.0,0.0,1.0,92.93,94.05,92.21,92.48,24457082.0
2018-03-20,93.05,93.77,93.0,93.13,23075240.0,0.0,1.0,93.05,93.77,93.0,93.13,23075240.0
2018-03-19,93.74,93.9,92.11,92.89,33344085.0,0.0,1.0,93.74,93.9,92.11,92.89,33344085.0
2018-03-16,94.68,95.38,93.92,94.6,49081279.0,0.0,1.0,94.68,95.38,93.92,94.6,49081279.0
2018-03-15,93.53,94.58,92.83,94.18,27610998.0,0.0,1.0,93.53,94.58,92.83,94.18,27610998.0
2018-03-14,95.12,95.41,93.5,93.85,32131981.0,0.0,1.0,95.12,95.41,93.5,93.85,32131981.0
2018-03-13,97.0,97.24,93.97,94.41,35387817.0,0.0,1.0,97.0,97.24,93.97,94.41,35387817.0
2018-03-12,96.5,97.21,96.04,96.77,26073742.0,0.0,1.0,96.5,97.21,96.04,96.77,26073742.0
2018-03-09,95.29,96.54,95.0,96.54,36937254.0,0.0,1.0,95.29,96.54,95.0,96.54,36937254.0
2018-03-08,94.27,95.1,93.765,94.43,25887828.0,0.0,1.0,94.27,95.1,93.765,94.43,25887828.0
2018-03-07,93.16,93.9406,92.43,93.86,26716127.0,0.0,1.0,93.16,93.9406,92.43,93.86,26716127.0
2018-03-06,94.34,94.49,92.941,93.32,22175776.0,0.0,1.0,94.34,94.49,92.941,93.32,22175776.0
2018-03-05,92.34,94.27,92.26,93.64,23901578.0,0.0,1.0,92.34,94.27,92.26,93.64,23901578.0
2018-03-02,91.58,93.15,90.86,93.05,32830389.0,0.0,1.0,91.58,93.15,90.86,93.05,32830389.0
2018-03-01,93.99,94.57,91.84,92.85,37135561.0,0.0,1.0,93.99,94.57,91.84,92.85,37135561.0
2018-02-28,94.84,95.705,93.63,93.77,31167338.0,0.0,1.0,94.84,95.705,93.63,93.77,31167338.0
2018-02-27,95.74,95.84,94.2,94.2,25869119.0,0.0,1.0,95.74,95.84,94.2,94.2,25869119.0
2018-02-26,94.4,95.45,94.25,95.42,30199846.0,0.0,1.0,94.4,95.45,94.25,95.42,30199846.0
2018-02-23,92.75,94.07,92.36,94.06,26329226.0,0.0,1.0,92.75,94.07,92.36,94.06,26329226.0
2018-02-22,92.05,92.73,91.36,91.73,24392753.0,0.0,1.0,92.05,92.73,91.36,91.73,24392753.0
2018-02-21,92.98,93.3595,91.49,91.49,26922503.0,0.0,1.0,92.98,93.3595,91.49,91.49,26922503.0
2018-02-20,91.475,93.06,91.01,92.72,30911725.0,0.0,1.0,91.475,93.06,91.01,92.72,30911725.0
2018-02-16,92.45,93.5,91.8,92.0,30596919.0,0.0,1.0,92.45,93.5,91.8,92.0,30596919.0
2018-02-15,91.21,92.72,90.62,92.66,27823866.0,0.0,1.0,91.21,92.72,90.62,92.66,27823866.0
2018-02-14,88.51,90.99,88.41,90.81,34960912.0,0.42,1.0,88.51,90.99,88.41,90.81,34960912.0
2018-02-13,88.93,90.0,87.8,89.83,26407702.0,0.0,1.0,88.52058862216377,89.58566261098323,87.3957908582703,89.41644524827359,26407702.0
2018-02-12,88.735,89.78,87.9295,89.13,35720341.0,0.0,1.0,88.3264863531733,89.36667543571194,87.524694672805,88.71966787241038,35720341.0
2018-02-09,86.3,88.93,83.83,88.18,63499065.0,0.0,1.0,85.90269648142059,88.52058862216377,83.44406774087471,87.77404143373892,63499065.0
2018-02-08,89.71,89.875,84.76,85.01,55628657.0,0.0,1.0,89.29699769812561,89.46123807957909,84.36978625452154,84.61863531732983,55628657.0
2018-02-07,90.49,91.77,89.2,89.61,41107592.0,0.0,1.0,90.07340677408747,91.34751397566589,88.78934560999672,89.19745807300231,41107592.0
2018-02-06,86.89,91.475,85.25,91.33,67998564.0,0.0,1.0,86.48998026964814,91.05387208155211,84.85753041762578,90.90953962512332,67998564.0
2018-02-05,90.56,93.24,88.0,88.0,51031465.0,0.0,1.0,90.14308451167379,92.81074646497862,87.59487010851694,87.59487010851694,51031465.0
2018-02-02,93.64,93.97,91.5,91.78,47867753.0,0.0,1.0,93.20890496547189,93.53738572837882,91.07875698783295,91.35746793817823,47867753.0
2018-02-01,94.79,96.07,93.5813,94.26,47227882.0,0.0,1.0,94.35361065439001,95.62771785596843,93.1504752055245,93.82605064123645,47227882.0
2018-01-31,93.75,95.4,93.51,95.01,48756338.0,0.0,1.0,93.31839855310753,94.96080236764223,93.07950345281158,94.5725978296613,48756338.0
2018-01-30,93.3,93.66,92.1,92.74,38635053.0,0.0,1.0,92.87047024005261,93.22881289049654,91.67599473857284,92.31304833936206,38635053.0
2018-01-29,95.14,95.45,93.72,93.92,31569940.0,0.0,1.0,94.70199934232161,95.01057218020388,93.28853666557053,93.48761591581717,31569940.0
2018-01-26,93.12,94.06,92.58,94.06,29172167.0,0.0,1.0,92.69129891483065,93.62697139098981,92.15378493916475,93.62697139098981,29172167.0
2018-01-25,92.465,93.24,91.93,92.33,26383238.0,0.0,1.0,92.03931437027295,92.81074646497862,91.50677737586321,91.90493587635646,26383238.0
2018-01-24,92.55,93.43,91.58,91.82,33277483.0,0.0,1.0,92.12392305162776,92.99987175271293,91.1583886879316,91.39728378822755,33277483.0
2018-01-23,91.9,92.3,91.54,91.9,23412841.0,0.0,1.0,91.47691548832621,91.87507398881947,91.11857283788228,91.47691548832621,23412841.0
2018-01-22,90.0,91.62,89.74,91.61,23601555.0,0.0,1.0,89.58566261098323,91.19820453798093,89.3268595856626,91.1882505754686,23601555.0
2018-01-19,90.14,90.61,89.66,90.0,36875013.0,0.0,1.0,89.72501808615587,90.19285432423546,89.24722788556396,89.58566261098323,36875013.0
2018-01-18,89.8,90.67,89.66,90.1,24159683.0,0.0,1.0,89.3865833607366,90.25257809930945,89.24722788556396,89.68520223610653,24159683.0
2018-01-17,89.08,90.28,88.75,90.14,25621164.0,0.0,1.0,88.66989805984873,89.86437356132852,88.3414172969418,89.72501808615587,25621164.0
2018-01-16,90.1,90.79,88.0104,88.35,36599736.0,0.0,1.0,89.68520223610653,90.37202564945743,87.60522222952977,87.94325879644853,36599736.0
2018-01-12,88.67,89.78,88.45,89.6,24271531.0,0.0,1.0,88.26178559684315,89.36667543571194,88.04279842157186,89.18750411048997,24271531.0
2018-01-11,88.13,88.13,87.24,88.08,17808877.0,0.0,1.0,87.72427162117724,87.72427162117724,86.83836895757975,87.67450180861559,17808877.0
2018-01-10,87.86,88.19,87.41,87.82,18652201.0,0.0,1.0,87.4555146333443,87.78399539625123,87.00758632028938,87.41569878329496,18652201.0
2018-01-09,88.65,88.7272,87.86,88.22,19484317.0,0.0,1.0,88.24187767181849,88.31872226241367,87.4555146333443,87.81385728378822,19484317.0
2018-01-08,88.2,88.58,87.6046,88.28,22113049.0,0.0,1.0,87.79394935876357,88.17219993423215,87.20129043077935,87.87358105886221,22113049.0
2018-01-05,87.66,88.41,87.43,88.19,23407110.0,0.0,1.0,87.25643538309767,88.00298257152252,87.02749424531405,87.78399539625123,23407110.0
2018-01-04,86.59,87.66,86.57,87.11,21911974.0,0.0,1.0,86.1913613942782,87.25643538309767,86.17145346925354,86.70896744491944,21911974.0
2018-01-03,86.055,86.51,85.97,86.35,26061439.0,0.0,1.0,85.65882439986848,86.11172969417956,85.57421571851364,85.95246629398224,26061439.0
2018-01-02,86.125,86.31,85.5,85.95,22483797.0,0.0,1.0,85.72850213745478,85.91265044393292,85.10637948043407,85.55430779348899,22483797.0
2017-12-29,85.63,86.05,85.5,85.54,18717406.0,0.0,1.0,85.23578099309438,85.6538474186123,85.10637948043407,85.14619533048341,18717406.0
2017-12-28,85.9,85.93,85.55,85.72,10594344.0,0.0,1.0,85.50453798092734,85.53439986846433,85.15614929299572,85.32536665570537,10594344.0
2017-12-27,85.65,85.98,85.215,85.71,14678025.0,0.0,1.0,85.25568891811905,85.58416968102598,84.82269154883262,85.31541269319303,14678025.0
2017-12-26,85.31,85.5346,85.03,85.4,9891237.0,0.0,1.0,84.91725419269977,85.14082019072673,84.63854324235449,85.00683985531076,9891237.0
2017-12-22,85.4,85.63,84.92,85.51,14145841.0,0.0,1.0,85.00683985531076,85.23578099309438,84.52904965471885,85.11633344294641,14145841.0
2017-12-21,86.05,86.1,85.4,85.5,17990745.0,0.0,1.0,85.6538474186123,85.70361723117395,85.00683985531076,85.10637948043407,17990745.0
2017-12-20,86.2,86.3,84.71,85.52,23674931.0,0.0,1.0,85.80315685629728,85.90269648142059,84.32001644195988,85.12628740545873,23674931.0
2017-12-19,86.35,86.35,85.27,85.83,23524787.0,0.0,1.0,85.95246629398224,85.95246629398224,84.87743834265044,85.434860243341,23524787.0
2017-12-18,87.12,87.4999,86.23,86.38,22283752.0,0.0,1.0,86.71892140743178,87.09707244327524,85.83301874383427,85.98232818151924,22283752.0
2017-12-15,85.26,87.09,84.88,86.85,53936687.0,0.0,1.0,84.86748438013812,86.68905951989478,84.48923380466951,86.4501644195988,53936687.0
2017-12-14,85.43,85.8739,84.53,84.69,19305961.0,0.0,1.0,85.03670174284775,85.47855813877015,84.14084511673792,84.30010851693523,19305961.0
2017-12-13,85.74,86.0,85.17,85.35,22062679.0,0.0,1.0,85.34527458073002,85.60407760605064,84.77789871752714,84.9570700427491,22062679.0
2017-12-12,85.31,86.05,85.08,85.58,23924105.0,0.0,1.0,84.91725419269977,85.6538474186123,84.68831305491615,85.18601118053272,23924105.0
2017-12-11,84.29,85.37,84.12,85.23,22857854.0,0.0,1.0,83.90195001644197,84.97697796777376,83.73273265373233,84.83762249260113,22857854.0
2017-12-08,83.63,84.58,83.33,84.16,24489106.0,0.0,1.0,83.24498849062807,84.19061492929957,82.94636961525813,83.77254850378165,24489106.0
2017-12-07,82.54,82.8,82.0,82.49,23184547.0,0.0,1.0,82.16000657678396,82.41880960210457,81.62249260111805,82.1102367642223,23184547.0
